aqsid,param,dur,year,rows,source_file
480290055,42101,1,2016,2071,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290055,42401,1,2016,2265,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290055,42601,1,2016,2263,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290055,42602,1,2016,2263,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290055,42603,1,2016,2263,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290055,44201,1,2016,8508,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290055,44201,1,2017,7133,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290055,44201,1,2018,1112,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290055,44201,1,2019,6307,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290055,44201,1,2020,6341,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290055,44201,1,2021,6410,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290055,44201,1,2022,6203,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290055,44201,1,2023,6217,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290055,44201,1,2024,6350,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290055,44201,1,2025,5734,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290501,44201,1,2016,5320,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290501,44201,1,2017,5983,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290501,44201,1,2018,5730,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290501,44201,1,2019,6365,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290501,44201,1,2020,6204,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290501,44201,1,2021,6256,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290501,44201,1,2022,5499,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290501,44201,1,2023,6200,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
480290501,44201,1,2024,6422,TCEQ_BexarCriteria_2016-2025_MISLABELED.txt
